		log2PostFC
GPX3	Gene Type: UP	5.545249599
SPRR2G	Gene Type: UP	5.545249599
DSC3	Gene Type: UP	2.554341397
FAT2	Gene Type: UP	5.472874154
GJB6	Gene Type: UP	5.472874154
MUC21	Gene Type: UP	5.472874154
SERPINB11	Gene Type: UP	5.472874154
BLOC1S5	Gene Type: DOWN	-1.71023052
SMN2	Gene Type: DOWN	-5.66621403
HMOX1	Gene Type: UP	1.150404517
LYPD3	Gene Type: UP	2.903725464
SLMO2-ATP5E	Gene Type: UP	1.275816805
MSANTD3-TMEFF1	Gene Type: DOWN	-2.445829534
QRICH2	Gene Type: UP	1.750769273
ALOX12	Gene Type: UP	5.316226126
KRT80	Gene Type: UP	5.316226126
TMEM110-MUSTN1	Gene Type: UP	5.292872491
JMJD7-PLA2G4B	Gene Type: DOWN	-5.505622993
LOC101929415	Gene Type: UP	2.22255309
MPZL2	Gene Type: UP	3.117494945
MYH3	Gene Type: UP	1.563447714
PKD1P1	Gene Type: UP	1.085878284
CDSN	Gene Type: UP	5.23102465
PGBD3	Gene Type: DOWN	-5.424618277
CCPG1	Gene Type: UP	1.352810575
LINC01551	Gene Type: UP	2.200076409
RAMP2-AS1	Gene Type: UP	2.212353232
BORCS7-ASMT	Gene Type: UP	5.155349359
SAPCD1	Gene Type: UP	5.146070154
AKR1B10	Gene Type: UP	5.140473848
FXYD3	Gene Type: UP	5.140473848
KRT24	Gene Type: UP	5.140473848
SLPI	Gene Type: UP	5.140473848
RGPD6	Gene Type: UP	5.098757203
SDF2L1	Gene Type: UP	1.069718431
GNG10	Gene Type: DOWN	-1.077909451
GAGE12F	Gene Type: DOWN	-5.281108733
IVL	Gene Type: UP	5.043856745
KLK13	Gene Type: UP	5.043856745
TMSB4X	Gene Type: UP	2.296678084
SESN2	Gene Type: UP	1.184964632
RTEL1-TNFRSF6B	Gene Type: UP	1.469952666
JUN	Gene Type: UP	1.140904178
PTGES3L-AARSD1	Gene Type: UP	4.962673468
DUSP6	Gene Type: DOWN	-1.046876946
ENDOU	Gene Type: UP	4.940301804
IRF6	Gene Type: UP	4.940301804
LOC613037	Gene Type: UP	1.024582195
DDIT4	Gene Type: UP	1.343498782
CRIPT	Gene Type: DOWN	-1.121066837
PHOSPHO2-KLHL23	Gene Type: UP	4.880010247
DNM1P46	Gene Type: UP	1.264472063
MTERF2	Gene Type: DOWN	-1.140686726
IFITM10	Gene Type: UP	2.128500384
CDK1	Gene Type: DOWN	-0.9962158
C1orf116	Gene Type: UP	4.828735025
HLA-DRA	Gene Type: UP	4.828735025
ANXA8L1	Gene Type: UP	4.817088742
RPL17-C18orf32	Gene Type: DOWN	-1.324839759
SFN	Gene Type: UP	2.496029266
SCHLAP1	Gene Type: UP	1.583344795
GP1BB	Gene Type: UP	4.808880041
BOD1L1	Gene Type: UP	1.280037779
CEBPB	Gene Type: UP	1.06512065
FAM225B	Gene Type: DOWN	-1.595240831
NPIPB5	Gene Type: UP	0.946749813
CCNC	Gene Type: DOWN	-0.975403244
DST	Gene Type: UP	0.982296426
ANKMY1	Gene Type: UP	1.110255787
C8orf44-SGK3	Gene Type: DOWN	-4.95200332
LOC729348	Gene Type: UP	1.301331964
NPIPA5	Gene Type: UP	0.976171154
HERPUD1	Gene Type: UP	0.963242193
KRT3	Gene Type: UP	4.707811948
LCE3D	Gene Type: UP	4.707811948
TMPRSS11A	Gene Type: UP	4.707811948
SLC4A5	Gene Type: UP	1.859429619
RBM14-RBM4	Gene Type: UP	1.534430892
SCHIP1	Gene Type: DOWN	-3.281881234
TP63	Gene Type: UP	3.186950957
TBC1D3	Gene Type: UP	4.682361697
CD44	Gene Type: UP	1.970068395
ZNF816-ZNF321P	Gene Type: DOWN	-4.878592914
PKD1P6	Gene Type: UP	0.927492428
TSNAX-DISC1	Gene Type: UP	4.664275563
FBLL1	Gene Type: UP	1.117827769
